price,discount,selling_proposition,product_title,rank_number,rank_type,rank_category,is_ranked
1.43,5,400,"Absorbent Microfiber Dish Cloths, Kitchen Dishwashing Cloth, Oil-Free And Absorbent Stain Removal Towels, Lint Free Dishwashing Towels, Scouring Pads, And Cleaning Rags - Kitchen Accessories And Cleaning Tools",,,,0
2.5,0,0,1pc Boob Tape Lift & Firm Your Breasts With Body Tape & Petal Backless Nipple Cover Set - Breathable Breast Lift Tape For A-E Cup Large Breasts!,1.0,Best Sellers,Bandage,1
5.6,34,0,SHEIN Running Cut Out Crossover Back Sports Tee,9.0,Best Sellers,Criss Cross Women Sports Tees & Tanks,1
12.19,0,0,SHEIN Sport Easify Two-Piece Look Hooded Sport Dress With Pockets Short Black Dress,1.0,Best Sellers,Plain Women Active Dresses,1
17.1,20,0,"Women's White And Blue Contrast Lace Star Design Lightweight Casual Sports Shoes Suitable For Daily Wear, Campus, And Hanging Out With Friends",1.0,Best Seller,In Blue and White Women Casual Shoes,1
11.47,25,0,SHEIN Yoga Sxy Solid Criss Cross Backless Active Dress Tennis Dress Sport Dress,2.0,Best Sellers,Criss Cross Women Active Dresses,1
16.42,25,0,"SHEIN Sport Studio 3Pcs Workout Athletic Set Cut Out Digital Polka Dot Sports Bra & Slogan Graphic Cut Out Tank Top & Digital Polka Dot Sports Leggings Gym Women Sets,Women Tennis Outfit",9.0,Best Sellers,4-Way Stretch Women Sports Sets,1
13.57,25,400,SHEIN Sport Gameset 3pcs Seamless High Stretch Racer Back Sports Bra workout,,,,0
1.9,30,600,"1pair 100cm Silicone Invisible Adhesive Cushion Insole Pads For High Heels, Anti-Slip And Anti-Wear Foot Protectors",,,,0
2.5,26,2400,"5-toe Sticky Forefoot Pad, Arch Support & Massage & Half Metatarsal Pads, Anti-slip Insoles For High Heels Women",,,,0
11.84,25,100,"Black+Light Blue+Grey-Pink, Set Of 3 Athletic Tank Tops",,,,0
2.84,2,0,111pcs Quick Water Filling Balloons,3.0,Best Sellers,pool float,1
1.62,5,20,"1/2/5 Pairs Simple Round Magnetic Curtain Clasp, Curtain Lightproof Clasp, Removable Curtain Decoration, Clothes Fixing Clasp",,,,0
6.48,31,1500,SHEIN Yoga Basic Contrast Tape Wide Waistband Sports Leggings,,,,0
9.89,3,200,"Tender Angel Tender Angel Cross Back Sports Bra For Women, New Spring And Summer Medium Intensity Yoga Fitness Thin Shoulder Strap Sports Underwear Gym Top",,,,0
5.99,6,0,Yoga Basic Women's Letter Printed Drawstring Sports Shorts With Phone Pocket,2.0,Best Sellers,Letter Women Active Bottoms,1
6.8,0,80,"2-In-1 Women's High Waist Body Shaper Tank Top, Zipper Compression Bra For Ultimate Control And Slimming, Abdominal Fat Tight Slimming Vest, Exercise Clothes For Tummy Control & Shaping, Sauna Top, Workout Clothes For Running, Gym, Yoga, Pilates, Body Shaper Waist Trainer Compression Bra",,,,0
8.81,30,0,SHEIN Yoga Sxy Plus Contrast Mesh Wideband Waist Sports Leggings,10.0,Best Sellers,Running & Work Out Women Plus Activewear,1
7.79,25,7200,SHEIN Running Wideband Waist Dolphin Hem Sports Shorts,,,,0
5.52,30,300,Yoga Basic Seamless Back Closure Sports Bra,,,,0
3.8,5,0,2pcs Neoprene Sauna Sweat Arm Bands Compression Sports Arm Sleeves Workout Elbow Brace Protector Gear For Men And Women Boxing Arm Trimmers Provides Support 2024 New Summer,3.0,Best Sellers,Barcer,1
11.29,7,40,Plus Size Women's Solid Color Pleated Workout Mini Skirt,,,,0
8.54,25,0,SHEIN Sport Gameset Ombre Yoga Leggings Seamless High Stretch Hollow Out Training Tights With Wide Waistband,3.0,Best Sellers,Cut Out Women Sports Leggings,1
5.66,30,0,Yoga Basic Seamless Raglan Sleeve Sports Tee Gym Top,3.0,Best Sellers,Running & Work Out Women Sports Tees & Tanks,1
6.37,25,1100,"SHEIN Sport Studio Letter Graphic Wideband Waist Sports Shorts With Phone Pocket, Blue Shorts,Women Tennis Outfit",,,,0
10.64,25,0,"Quick-Dry Comfortable Ice Silk Sports Pants, 1pc Men's Casual Running Pants, Zipper Pocket, High Elasticity Waistband With Drawstring, Suitable For Summer Gym Exercise, Training And Jogging",1.0,Best Sellers,All Over Print Men Active Bottoms,1
13.38,31,0,SHEIN Sport Studio Plus Size Seamless Tank Top And Shorts Active Set,9.0,Best Sellers,Women Plus Activewear,1
